group,arm,world,round,action,mse,rmse,model_variance
population_oracle,h1,1,2,3,0.0020373583331183814,0.04513710594531268,0.00832886781950311
population_oracle,h1,1,3,0,0.0006833258563317565,0.026140502220342986,0.004939909469574228
population_oracle,h1,2,1,1,0.0021746271009594645,0.0466328971967158,0.006853093441735861
population_oracle,h1,2,2,3,0.0035483255041621814,0.059567822724707516,0.006108498455491483
population_oracle,h1,2,3,2,0.005600974358664265,0.07483965765998843,0.006039132622461573
population_oracle,h1,3,1,1,0.009108383765863533,0.09543785289843613,0.024100208867264043
population_oracle,h1,3,2,0,0.012589647279056829,0.11220359744258127,0.010597750874521607
population_oracle,h1,3,3,3,0.010152519258368829,0.10075971049168823,0.009252503399750237
population_oracle,h1,4,1,1,0.0299186297455511,0.17297002556960872,0.04047749856023066
population_oracle,h1,4,2,0,0.0014330858879408128,0.03785612087814615,0.008879153725406654
population_oracle,h1,4,3,3,0.0011832291331811498,0.03439809781341331,0.005798648427232524
population_oracle,h1,5,1,1,0.003737170516519592,0.06113240152750088,0.030091616008647012
population_oracle,h1,5,2,2,0.0010031171623345672,0.031672024916865785,0.014777219612219608
population_oracle,h1,5,3,0,0.00957188967814106,0.0978360346607581,0.015871681886702425
population_oracle,h1,6,1,1,0.00982664618642859,0.09912944157226242,0.018238893318640342
population_oracle,h1,6,2,0,3.0144136607337575e-05,0.005490367620418288,0.0015276310880597103
population_oracle,h1,6,3,3,3.6052251015385174e-06,0.0018987430319920907,0.0005339373556579943
population_oracle,h1,7,1,1,0.0020585664669375793,0.045371427869724125,0.02855980560211869
population_oracle,h1,7,2,3,4.2975666278835254e-07,0.0006555582832886429,0.00018536541180078718
population_oracle,h1,7,3,0,1.167236723931053e-08,0.00010803873027442765,3.061122319538e-05
population_oracle,h2,0,1,1,0.1261211435771119,0.35513538767223957,0.0353294979565876
population_oracle,h2,0,2,2,0.019794084824383766,0.1406914525633443,0.03827540299389934
population_oracle,h2,0,3,0,3.418672106792418e-07,0.0005846941171922648,0.00018809606032138123
population_oracle,h2,1,1,1,0.004834434806373348,0.06953010000261288,0.012127367687474315
population_oracle,h2,1,2,0,0.00364637571537848,0.06038522762545886,0.008217108236669737
population_oracle,h2,1,3,3,0.0011329155317865206,0.03365881061158461,0.005958610555774017
population_oracle,h2,2,1,1,0.0021746271009594645,0.0466328971967158,0.006853093441735861
population_oracle,h2,2,2,2,0.0007739464516902321,0.027819893092717523,0.005119073486959715
population_oracle,h2,2,3,3,1.2944725138633267e-06,0.0011377488799657535,0.00017624516356401195
population_oracle,h2,3,1,1,0.009108383765863533,0.09543785289843613,0.024100208867264043
population_oracle,h2,3,2,0,0.012589647279056829,0.11220359744258127,0.010597750874521607
population_oracle,h2,3,3,3,0.010152519258368829,0.10075971049168823,0.009252503399750237
population_oracle,h2,4,1,1,0.0299186297455511,0.17297002556960872,0.04047749856023066
population_oracle,h2,4,2,2,0.0020073462438262185,0.04480341776947623,0.012513624747397515
population_oracle,h2,4,3,3,0.00096475460263493,0.031060499072534716,0.007279915121212007
population_oracle,h2,5,1,1,0.003737170516519592,0.06113240152750088,0.030091616008647012
population_oracle,h2,5,2,0,0.03460091965696948,0.18601322441420523,0.00846247788524766
population_oracle,h2,5,3,2,2.4621886024692173e-05,0.004962044540780763,0.002765251170488818
population_oracle,h2,6,1,1,0.00982664618642859,0.09912944157226242,0.018238893318640342
population_oracle,h2,6,2,0,3.0144136607337575e-05,0.005490367620418288,0.0015276310880597103
population_oracle,h2,6,3,3,3.6052251015385174e-06,0.0018987430319920907,0.0005339373556579943
population_oracle,h2,7,1,1,0.0020585664669375793,0.045371427869724125,0.02855980560211869
population_oracle,h2,7,2,3,4.2975666278835254e-07,0.0006555582832886429,0.00018536541180078718
population_oracle,h2,7,3,0,1.167236723931053e-08,0.00010803873027442765,3.061122319538e-05
population_oracle,h3,0,1,1,0.1261211435771119,0.35513538767223957,0.0353294979565876
population_oracle,h3,0,2,2,0.019794084824383766,0.1406914525633443,0.03827540299389934
population_oracle,h3,0,3,0,3.418672106792418e-07,0.0005846941171922648,0.00018809606032138123
population_oracle,h3,1,1,1,0.004834434806373348,0.06953010000261288,0.012127367687474315
population_oracle,h3,1,2,0,0.00364637571537848,0.06038522762545886,0.008217108236669737
population_oracle,h3,1,3,3,0.0011329155317865206,0.03365881061158461,0.005958610555774017
population_oracle,h3,2,1,1,0.0021746271009594645,0.0466328971967158,0.006853093441735861
population_oracle,h3,2,2,2,0.0007739464516902321,0.027819893092717523,0.005119073486959715
population_oracle,h3,2,3,3,1.2944725138633267e-06,0.0011377488799657535,0.00017624516356401195
population_oracle,h3,3,1,1,0.009108383765863533,0.09543785289843613,0.024100208867264043
population_oracle,h3,3,2,0,0.012589647279056829,0.11220359744258127,0.010597750874521607
population_oracle,h3,3,3,3,0.010152519258368829,0.10075971049168823,0.009252503399750237
population_oracle,h3,4,1,1,0.0299186297455511,0.17297002556960872,0.04047749856023066
population_oracle,h3,4,2,2,0.0020073462438262185,0.04480341776947623,0.012513624747397515
population_oracle,h3,4,3,3,0.00096475460263493,0.031060499072534716,0.007279915121212007
population_oracle,h3,5,1,1,0.003737170516519592,0.06113240152750088,0.030091616008647012
population_oracle,h3,5,2,0,0.03460091965696948,0.18601322441420523,0.00846247788524766
population_oracle,h3,5,3,2,2.4621886024692173e-05,0.004962044540780763,0.002765251170488818
population_oracle,h3,6,1,1,0.00982664618642859,0.09912944157226242,0.018238893318640342
population_oracle,h3,6,2,0,3.0144136607337575e-05,0.005490367620418288,0.0015276310880597103
population_oracle,h3,6,3,3,3.6052251015385174e-06,0.0018987430319920907,0.0005339373556579943
population_oracle,h3,7,1,1,0.0020585664669375793,0.045371427869724125,0.02855980560211869
population_oracle,h3,7,2,3,4.2975666278835254e-07,0.0006555582832886429,0.00018536541180078718
population_oracle,h3,7,3,0,1.167236723931053e-08,0.00010803873027442765,3.061122319538e-05
